doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,commented_post,sponsored,target,condition,sequence
1,22.08.26 10:00,Simple tips for cleaning a dishwasher. Cleaning the filter and wiping the door seals can improve washing results and help maintain the appliance.,https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/dishwasher.jpg ,An open dishwasher filled with clean dishes in a modern kitchen.,15,2,1,Everyday Living,EverydayLiving,"Everyday stories and practical information about health, technology, home and lifestyle.",https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/everyday_living.jpg,4523,0,0,,A,1
2,22.08.26 09:45,"Experts reviewed the claim that a homemade mixture of banana peel, lemon, salt, and toothpaste can whiten teeth in one minute and found it to be false.",https://raw.githubusercontent.com/Yali-hou/dice-experiment-images/main/whiten_teeth.jpg ,A close-up of a smiling person showing their teeth.,15,2,1,Everyday Living,EverydayLiving,"Everyday stories and practical information about health, technology, home and lifestyle.",https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/everyday_living.jpg,4523,0,0,,A,2
3,21.08.26 09:30,"Birds are common visitors to residential gardens. Trees, flowering plants and water sources can attract birds and other wildlife.",https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/bird.jpg ,Several birds gathered around feeders in a residential garden.,15,2,1,Everyday Living,EverydayLiving,"Everyday stories and practical information about health, technology, home and lifestyle.",https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/everyday_living.jpg,4523,0,0,,A,3
4,21.08.26 09:15,Experts reviewed the claim that regular vitamin C supplementation reduces the risk of catching a cold in the general population and found it to be false.,https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/vitamin_c.jpg ,A bottle of vitamin C supplements beside a sliced orange.,15,2,1,Everyday Living,EverydayLiving,"Everyday stories and practical information about health, technology, home and lifestyle.",https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/everyday_living.jpg,4523,0,0,,A,4
5,20.08.26 09:00,NOVA Refresh your day with NOVA Body Wash. Discover our body wash for everyday use and shop online today.,https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/Ad_Body_wash.png ,Two bottles of body wash on a bathroom counter.,15,2,1,NOVA,NOVA,Everyday body care products for simple daily routines.,https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/userimage_Nova.png,4523,0,1,https://yali-hou.github.io/dice-experiment-images/,A,5
6,22.08.26 10:00,Simple tips for cleaning a dishwasher. Cleaning the filter and wiping the door seals can improve washing results and help maintain the appliance.,https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/dishwasher.jpg ,An open dishwasher filled with clean dishes in a modern kitchen.,15,2,1,Everyday Living,EverydayLiving,"Everyday stories and practical information about health, technology, home and lifestyle.",https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/everyday_living.jpg,4523,0,0,,B,1
7,22.08.26 09:45,Experts reviewed the claim that toothpaste containing baking soda can help remove surface stains and whiten teeth and found it to be true.,https://raw.githubusercontent.com/Yali-hou/dice-experiment-images/main/whiten_teeth.jpg ,A close-up of a smiling person showing their teeth.,15,2,1,Everyday Living,EverydayLiving,"Everyday stories and practical information about health, technology, home and lifestyle.",https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/everyday_living.jpg,4523,0,0,,B,2
8,21.08.26 09:30,"Birds are common visitors to residential gardens. Trees, flowering plants and water sources can attract birds and other wildlife.",https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/bird.jpg ,Several birds gathered around feeders in a residential garden.,15,2,1,Everyday Living,EverydayLiving,"Everyday stories and practical information about health, technology, home and lifestyle.",https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/everyday_living.jpg,4523,0,0,,B,3
9,21.08.26 09:15,Experts reviewed the claim that regular vitamin C supplementation modestly reduces the duration of a cold and found it to be true.,https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/vitamin_c.jpg ,A bottle of vitamin C supplements beside a sliced orange.,15,2,1,Everyday Living,EverydayLiving,"Everyday stories and practical information about health, technology, home and lifestyle.",https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/everyday_living.jpg,4523,0,0,,B,4
10,20.08.26 09:00,NOVA Refresh your day with NOVA Body Wash. Discover our body wash for everyday use and shop online today.,https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/Ad_PhoneCase.png ,Two bottles of body wash on a bathroom counter.,15,2,1,NOVA,NOVA,Everyday body care products for simple daily routines.,https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/adrenluggage.jpg,4523,0,1,https://yali-hou.github.io/dice-experiment-images/,B,5
